ROI_ID 5
ROI_TYPE MeanCircRoi(center=(91, 91), radius=5, delta_ig=0)
ROI_DESCRIPTION N/A
DATE 2019-11-05
TIME 14:27:24
CAP_FILE testfiles/color_test.mp4
CAP_TITLE testfiles/color_test.mp4
CAP_FPS 15.0

pos_frames,pos_msec,blue_avg,green_avg,red_avg
HEADER_END
522.0,34800.0,50.0,0.0,48.0
523.0,34866.666666666664,50.0,0.0,48.0
524.0,34933.333333333336,50.0,0.0,48.0
525.0,35000.0,50.0,0.0,48.0
526.0,35066.666666666664,50.0,0.0,48.0
527.0,35133.333333333336,50.0,0.0,48.0
528.0,35200.0,50.0,0.0,48.0
529.0,35266.666666666664,50.0,0.0,48.0
530.0,35333.333333333336,50.0,0.0,48.0
531.0,35400.0,50.0,0.0,48.0
532.0,35466.666666666664,50.0,0.0,48.0
533.0,35533.333333333336,50.0,0.0,48.0
534.0,35600.0,50.0,0.0,48.0
535.0,35666.666666666664,50.0,0.0,48.0
536.0,35733.333333333336,50.0,0.0,48.0
537.0,35800.0,50.0,0.0,48.0
538.0,35866.666666666664,50.0,0.0,48.0
539.0,35933.333333333336,50.0,0.0,48.0
540.0,36000.0,50.0,0.0,48.0
541.0,36066.666666666664,50.0,0.0,48.0
542.0,36133.333333333336,50.0,0.0,48.0
543.0,36200.0,50.0,0.0,48.0
544.0,36266.666666666664,50.0,0.0,48.0
545.0,36333.333333333336,50.0,0.0,48.0
546.0,36400.0,50.0,0.0,48.0
547.0,36466.666666666664,50.0,0.0,48.0
548.0,36533.333333333336,98.0,0.0,94.0
549.0,36600.0,98.0,0.0,94.0
550.0,36666.666666666664,98.0,0.0,94.0
551.0,36733.333333333336,98.0,0.0,94.0
552.0,36800.0,98.0,0.0,94.0
553.0,36866.666666666664,98.0,0.0,94.0
554.0,36933.333333333336,98.0,0.0,94.0
555.0,37000.0,98.0,0.0,94.0
556.0,37066.666666666664,98.0,0.0,94.0
557.0,37133.333333333336,98.0,0.0,94.0
558.0,37200.0,98.0,0.0,94.0
559.0,37266.666666666664,98.0,0.0,94.0
560.0,37333.333333333336,98.0,0.0,94.0
561.0,37400.0,98.0,0.0,94.0
562.0,37466.666666666664,98.0,0.0,94.0
563.0,37533.333333333336,98.0,0.0,94.0
564.0,37600.0,98.0,0.0,94.0
565.0,37666.666666666664,98.0,0.0,94.0
566.0,37733.333333333336,98.0,0.0,94.0
567.0,37800.0,98.0,0.0,94.0
568.0,37866.666666666664,98.0,0.0,94.0
569.0,37933.333333333336,98.0,0.0,94.0
570.0,38000.0,98.0,0.0,94.0
571.0,38066.666666666664,98.0,0.0,94.0
572.0,38133.333333333336,98.0,0.0,94.0
573.0,38200.0,98.0,0.0,94.0
574.0,38266.666666666664,98.0,0.0,94.0
575.0,38333.333333333336,98.0,0.0,94.0
576.0,38400.0,98.0,0.0,94.0
577.0,38466.666666666664,98.0,0.0,94.0
578.0,38533.333333333336,98.0,0.0,94.0
579.0,38600.0,98.0,0.0,94.0
580.0,38666.666666666664,98.0,0.0,94.0
581.0,38733.333333333336,98.0,0.0,94.0
582.0,38800.0,98.0,0.0,94.0
583.0,38866.666666666664,98.0,0.0,94.0
584.0,38933.333333333336,98.0,0.0,94.0
585.0,39000.0,98.0,0.0,94.0
586.0,39066.666666666664,98.0,0.0,94.0
587.0,39133.333333333336,98.0,0.0,94.0
588.0,39200.0,98.0,0.0,94.0
589.0,39266.666666666664,98.0,0.0,94.0
590.0,39333.333333333336,98.0,0.0,94.0
591.0,39400.0,98.0,0.0,94.0
592.0,39466.666666666664,98.0,0.0,94.0
593.0,39533.333333333336,193.0,0.0,184.0
594.0,39600.0,193.0,0.0,184.0
595.0,39666.666666666664,193.0,0.0,184.0
596.0,39733.333333333336,193.0,0.0,184.0
597.0,39800.0,193.0,0.0,184.0
598.0,39866.666666666664,193.0,0.0,184.0
599.0,39933.333333333336,193.0,0.0,184.0
600.0,40000.0,193.0,0.0,184.0
601.0,40066.666666666664,193.0,0.0,184.0
602.0,40133.333333333336,193.0,0.0,184.0
603.0,40200.0,193.0,0.0,184.0
604.0,40266.666666666664,193.0,0.0,184.0
605.0,40333.333333333336,193.0,0.0,184.0
606.0,40400.0,193.0,0.0,184.0
607.0,40466.666666666664,193.0,0.0,184.0
608.0,40533.333333333336,193.0,0.0,184.0
609.0,40600.0,193.0,0.0,184.0
610.0,40666.666666666664,193.0,0.0,184.0
611.0,40733.333333333336,193.0,0.0,184.0
612.0,40800.0,193.0,0.0,184.0
613.0,40866.666666666664,193.0,0.0,184.0
614.0,40933.333333333336,193.0,0.0,184.0
615.0,41000.0,193.0,0.0,184.0
616.0,41066.666666666664,193.0,0.0,184.0
617.0,41133.333333333336,193.0,0.0,184.0
618.0,41200.0,193.0,0.0,184.0
619.0,41266.666666666664,193.0,0.0,184.0
620.0,41333.333333333336,193.0,0.0,184.0
621.0,41400.0,193.0,0.0,184.0
622.0,41466.666666666664,193.0,0.0,184.0
623.0,41533.333333333336,193.0,0.0,184.0
624.0,41600.0,193.0,0.0,184.0
625.0,41666.666666666664,193.0,0.0,184.0
626.0,41733.333333333336,193.0,0.0,184.0
627.0,41800.0,193.0,0.0,184.0
628.0,41866.666666666664,193.0,0.0,184.0
