ROI_ID 1
ROI_TYPE MeanRectRoi(vertex1=(277, 56), vertex2=(367, 271), delta_ig=0)
ROI_DESCRIPTION N/A
DATE 2019-11-10
TIME 19:35:41
CAP_FILE testfiles/traffic_light_small.avi
CAP_TITLE testfiles/traffic_light_small.avi
CAP_FPS 25.0

pos_frames,pos_msec,blue_avg,green_avg,red_avg
HEADER_END
113.0,4520.0,49.8964183964184,49.312627187627186,36.04024216524216
114.0,4560.0,49.90114977614978,49.317460317460316,36.04507529507529
115.0,4600.0,49.90466015466016,49.31837606837607,36.04644892144892
116.0,4640.0,49.90466015466016,49.31837606837607,36.04644892144892
117.0,4680.0,49.90165852665853,49.31425518925519,36.0479242979243
118.0,4720.0,49.8982498982499,49.310846560846564,36.04451566951567
119.0,4760.0,49.8982498982499,49.310846560846564,36.04451566951567
120.0,4800.0,49.894485144485145,49.30708180708181,36.04075091575091
121.0,4840.0,49.837657712657716,49.293854293854295,35.99582824582824
122.0,4880.0,49.81684981684982,49.28637566137566,35.98417785917786
123.0,4920.0,49.82102157102157,49.28403540903541,35.988146113146115
124.0,4960.0,49.8201566951567,49.28337403337403,35.98707773707774
125.0,5000.0,49.8201566951567,49.28337403337403,35.98707773707774
126.0,5040.0,49.8201566951567,49.28337403337403,35.98707773707774
127.0,5080.0,49.8201566951567,49.28337403337403,35.98707773707774
128.0,5120.0,49.8201566951567,49.28337403337403,35.98707773707774
129.0,5160.0,49.79466829466829,49.1559829059829,35.87367724867725
130.0,5200.0,49.77940577940578,49.14901302401302,35.85968660968661
131.0,5240.0,49.75585063085063,49.12469474969475,35.892857142857146
132.0,5280.0,49.754884004884005,49.11604599104599,35.90282865282865
133.0,5320.0,49.72196784696785,49.14489214489215,35.83257020757021
134.0,5360.0,49.76373626373626,49.1454008954009,35.81547619047619
135.0,5400.0,49.75966625966626,49.11019536019536,35.827737077737076
136.0,5440.0,49.77660765160765,49.09483109483109,35.837606837606835
137.0,5480.0,49.79151404151404,49.11920024420024,35.90282865282865
138.0,5520.0,49.72781847781848,49.11558811558812,35.877594627594625
139.0,5560.0,49.72944647944648,49.11940374440375,35.86329873829874
140.0,5600.0,49.70446682946683,49.14697802197802,35.87922262922263
141.0,5640.0,49.72318884818885,49.12428774928775,35.86624949124949
142.0,5680.0,49.720746845746845,49.129120879120876,35.83796296296296
143.0,5720.0,49.66264753764754,49.147893772893774,35.80469067969068
144.0,5760.0,49.66264753764754,49.14260276760277,35.786986161986164
145.0,5800.0,49.63776963776964,49.206145706145705,35.73941798941799
146.0,5840.0,49.6488603988604,49.21937321937322,35.806776556776555
147.0,5880.0,49.717592592592595,49.242063492063494,35.813135938135936
148.0,5920.0,49.68131868131868,49.23921448921449,35.807794057794055
149.0,5960.0,49.68920431420431,49.241910866910864,35.86340048840049
150.0,6000.0,49.6533374033374,49.227971102971104,35.81969881969882
151.0,6040.0,49.652218152218154,49.21840659340659,35.842083842083845
152.0,6080.0,49.6525234025234,49.18630443630444,35.871743996743994
153.0,6120.0,49.66931216931217,49.18426943426943,35.853734228734226
154.0,6160.0,49.65811965811966,49.180250305250304,35.8493080993081
155.0,6200.0,49.66412291412291,49.18564306064306,35.85266585266585
156.0,6240.0,49.664021164021165,49.18554131054131,35.8525641025641
157.0,6280.0,49.55698005698006,49.16910866910867,35.87057387057387
158.0,6320.0,49.538410663410666,49.161121286121286,35.862993487993485
159.0,6360.0,49.5517908017908,49.16697191697192,35.87840862840863
160.0,6400.0,49.5517908017908,49.16697191697192,35.87840862840863
161.0,6440.0,49.55530118030118,49.169871794871796,35.881919006919006
162.0,6480.0,49.55530118030118,49.169871794871796,35.881919006919006
