ROI_ID 4
ROI_TYPE MeanRectRoi(vertex1=(94, 96), vertex2=(117, 119), delta_ig=0)
ROI_DESCRIPTION N/A
DATE 2019-11-05
TIME 14:27:24
CAP_FILE testfiles/color_test.mp4
CAP_TITLE testfiles/color_test.mp4
CAP_FPS 15.0

pos_frames,pos_msec,blue_avg,green_avg,red_avg
HEADER_END
261.0,17400.0,1.0,0.0,231.0
262.0,17466.666666666668,1.0,0.0,231.0
263.0,17533.333333333332,1.0,0.0,231.0
264.0,17600.0,1.0,0.0,231.0
265.0,17666.666666666668,1.0,0.0,231.0
266.0,17733.333333333332,1.0,0.0,231.0
267.0,17800.0,1.0,0.0,231.0
268.0,17866.666666666668,1.0,0.0,231.0
269.0,17933.333333333332,1.0,0.0,231.0
270.0,18000.0,1.0,0.0,231.0
271.0,18066.666666666668,1.0,0.0,231.0
272.0,18133.333333333332,1.0,0.0,231.0
273.0,18200.0,1.0,0.0,231.0
274.0,18266.666666666668,1.0,0.0,231.0
275.0,18333.333333333332,1.0,0.0,231.0
276.0,18400.0,1.0,0.0,231.0
277.0,18466.666666666668,1.0,0.0,231.0
278.0,18533.333333333332,1.0,0.0,231.0
279.0,18600.0,1.0,0.0,231.0
280.0,18666.666666666668,1.0,0.0,231.0
281.0,18733.333333333332,1.0,0.0,231.0
282.0,18800.0,1.0,0.0,231.0
283.0,18866.666666666668,1.0,0.0,231.0
284.0,18933.333333333332,1.0,0.0,231.0
285.0,19000.0,1.0,0.0,231.0
286.0,19066.666666666668,1.0,0.0,231.0
287.0,19133.333333333332,1.0,0.0,231.0
288.0,19200.0,1.0,0.0,231.0
289.0,19266.666666666668,1.0,0.0,231.0
290.0,19333.333333333332,1.0,0.0,231.0
291.0,19400.0,1.0,0.0,231.0
292.0,19466.666666666668,1.0,0.0,231.0
293.0,19533.333333333332,1.0,0.0,231.0
294.0,19600.0,1.0,0.0,231.0
295.0,19666.666666666668,1.0,0.0,231.0
296.0,19733.333333333332,1.0,0.0,231.0
297.0,19800.0,1.0,0.0,231.0
298.0,19866.666666666668,1.0,0.0,231.0
299.0,19933.333333333332,1.0,0.0,231.0
300.0,20000.0,1.0,0.0,231.0
301.0,20066.666666666668,1.0,0.0,231.0
302.0,20133.333333333332,1.0,0.0,231.0
303.0,20200.0,1.0,0.0,231.0
304.0,20266.666666666668,1.0,0.0,231.0
305.0,20333.333333333332,1.0,0.0,231.0
306.0,20400.0,1.0,0.0,231.0
307.0,20466.666666666668,1.0,0.0,231.0
308.0,20533.333333333332,1.0,0.0,231.0
309.0,20600.0,1.0,0.0,231.0
310.0,20666.666666666668,1.0,0.0,231.0
311.0,20733.333333333332,1.0,0.0,231.0
312.0,20800.0,1.0,0.0,231.0
313.0,20866.666666666668,1.0,0.0,231.0
314.0,20933.333333333332,1.0,0.0,231.0
315.0,21000.0,1.0,0.0,231.0
316.0,21066.666666666668,1.0,0.0,231.0
317.0,21133.333333333332,1.0,0.0,231.0
318.0,21200.0,1.0,0.0,231.0
319.0,21266.666666666668,1.0,0.0,231.0
320.0,21333.333333333332,1.0,0.0,231.0
321.0,21400.0,1.0,0.0,231.0
322.0,21466.666666666668,1.0,0.0,231.0
323.0,21533.333333333332,1.0,0.0,231.0
324.0,21600.0,1.0,0.0,231.0
325.0,21666.666666666668,1.0,0.0,231.0
326.0,21733.333333333332,1.0,0.0,231.0
327.0,21800.0,1.0,0.0,231.0
328.0,21866.666666666668,1.0,0.0,231.0
329.0,21933.333333333332,1.0,0.0,231.0
330.0,22000.0,1.0,0.0,231.0
331.0,22066.666666666668,1.0,0.0,231.0
332.0,22133.333333333332,1.0,0.0,231.0
333.0,22200.0,1.0,0.0,231.0
334.0,22266.666666666668,1.0,0.0,231.0
335.0,22333.333333333332,1.0,0.0,231.0
336.0,22400.0,1.0,0.0,231.0
337.0,22466.666666666668,1.0,0.0,231.0
338.0,22533.333333333332,1.0,0.0,231.0
339.0,22600.0,1.0,0.0,231.0
340.0,22666.666666666668,1.0,0.0,231.0
341.0,22733.333333333332,1.0,0.0,231.0
342.0,22800.0,1.0,0.0,231.0
343.0,22866.666666666668,1.0,0.0,231.0
344.0,22933.333333333332,1.0,0.0,231.0
345.0,23000.0,1.0,0.0,231.0
346.0,23066.666666666668,1.0,0.0,231.0
347.0,23133.333333333332,1.0,0.0,231.0
348.0,23200.0,1.0,0.0,231.0
349.0,23266.666666666668,1.0,0.0,231.0
350.0,23333.333333333332,1.0,0.0,231.0
351.0,23400.0,1.0,0.0,231.0
352.0,23466.666666666668,1.0,0.0,231.0
353.0,23533.333333333332,1.0,0.0,231.0
354.0,23600.0,1.0,0.0,231.0
355.0,23666.666666666668,1.0,0.0,231.0
356.0,23733.333333333332,244.0,0.0,233.0
357.0,23800.0,244.0,0.0,233.0
358.0,23866.666666666668,244.0,0.0,233.0
359.0,23933.333333333332,244.0,0.0,233.0
360.0,24000.0,244.0,0.0,233.0
361.0,24066.666666666668,244.0,0.0,233.0
362.0,24133.333333333332,244.0,0.0,233.0
363.0,24200.0,244.0,0.0,233.0
364.0,24266.666666666668,244.0,0.0,233.0
365.0,24333.333333333332,244.0,0.0,233.0
366.0,24400.0,244.0,0.0,233.0
367.0,24466.666666666668,244.0,0.0,233.0
368.0,24533.333333333332,244.0,0.0,233.0
369.0,24600.0,244.0,0.0,233.0
370.0,24666.666666666668,244.0,0.0,233.0
371.0,24733.333333333332,244.0,0.0,233.0
372.0,24800.0,244.0,0.0,233.0
373.0,24866.666666666668,244.0,0.0,233.0
374.0,24933.333333333332,244.0,0.0,233.0
375.0,25000.0,244.0,0.0,233.0
376.0,25066.666666666668,244.0,0.0,233.0
377.0,25133.333333333332,244.0,0.0,233.0
378.0,25200.0,244.0,0.0,233.0
379.0,25266.666666666668,244.0,0.0,233.0
380.0,25333.333333333332,244.0,0.0,233.0
381.0,25400.0,244.0,0.0,233.0
382.0,25466.666666666668,244.0,0.0,233.0
383.0,25533.333333333332,244.0,0.0,233.0
384.0,25600.0,244.0,0.0,233.0
385.0,25666.666666666668,244.0,0.0,233.0
